"Add a link";"Bir link ekle"
"An error occurred while saving your picto. Please try againg later.";"Resminiz kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"Are you sure you want to delete this link?";"Bu bağlantıyı silmek istediğinizden emin misiniz?"
"Are you sure you want to delete this picture?";"Bu resmi silmek istediğinizden emin misiniz?"
"Enter your Magento URL";"Magento URL'inizi girin"
"Enter your Prestashop URL";"Prestashop URL'inizi girin"
"Enter your Shopify URL";"Shopify URL'ini girin"
"Enter your Volusion URL";"Volusion URL'ini girin"
"Enter your WooCommerce URL";"WooCommerce URL'inizi girin"
"Link";"Link"
"Link has been successfully deleted";"Bağlantı başarıyla silindi"
"Link has been successfully saved";"Bağlantı başarıyla kaydedildi"
"Link:";"Link:"
"Magento";"Magento"
"Picto";"Resim"
"Prestashop";"Prestashop"
"Shopify";"Shopify"
"The image has been successfully deleted";"Görüntü başarıyla silindi"
"The image has been successfully saved";"Görüntü başarıyla kaydedildi"
"Use external application";"Harici uygulamayı kullan"
"Volusion";"Volusion"
"Without navbar";"Gezinti çubuğu olmadan"
"WooCommerce";"WooCommerce"
"Your links";"Linkleriniz"
