"1 day";"1 gün"
"1 hour";"1 saat"
"1 minute";"1 dakika"
"12 hours";"12 saat"
"15 minutes";"15 dakika"
"3 hours";"3 saat"
"30 minutes";"30 dakika"
"6 hours";"6 saat"
"Add a query";"Bir sorgu ekleyin "
"An error occurred while accessing your Wordpress website. Please, verify the domain name %s";"Wordpress web sitesine erişim sırasında bir hata oluştu. Alan adı% s kontrol edin"
"Ascending";"Artan"
"Author";"Yazar"
"Cache lifetime (excluding pull to refresh)";"Önbellek ömür boyu (çekme hariç yenilemek için)"
"Categories successfully saved";"Kategori başarıyla kaydedildi"
"Click here to download our Wordpress plugin";"Wordpress eklentimizi indirmek için tıklayınız"
"Cover & Thumbnails are only visible when queries are not grouped.";"Sorgular gruplandırılmış kapak & Küçük resimleri görünür."
"Date";"Tarih"
"Descending";"İnen"
"Enter your Wordpress URL:";"Wordpress URL'sini girin:"
"Group all queries into a single list";"Tek bir liste halinde tüm sorgular grup "
"ID";"KİMLİĞİ"
"If your WordPress is secured by a login/password, and/or you want to display private posts you can set here a user to be used to retrieve posts.";"Eğer WordPress giriş/parola ile korunuyorsa, ve burada mesaj almak için kullanılacak bir kullanıcı ayarlayabilirsiniz özel mesaj görüntülemek istiyorum/veya."
"Loading categories";"Yükleme kategorileri"
"Manage WordPress";"Yönetmek WordPress"
"Manage queries";"Yönetmek sorguları"
"No cache";"Hayır önbellek"
"Note: cache is automatically refreshed on any user pull to refresh action whatever the lifetime set.";"Not: önbellek otomatik olarak herhangi bir kullanıcı ömür boyu kümesi ne olursa olsun eylem yenilemek için çekin yenilenir."
"Pages";"Sayfalar"
"Relevance";"Alaka"
"Show title & subtitle";"Başlığı göster & altyazı"
"Sorry, we are unable to fetch any category or post from your WordPress.";"Üzgünüm, WordPress herhangi bir kategori veya sonrası getirilemedi."
"Sort by";"Sırala"
"Sort order";"Sıralama düzeni"
"Strip shortcodes";"Şerit kodlarını"
"Unable to find your WordPress or /wp-json/ endpoint.";"Ya da WordPress /WordPress-json/ nokta bulamadı."
"Unlimited (until any pull to refresh)";"(Herhangi bir çek yenilemek kadar)sınırsız "
"We are sorry but no category has been detected on your Wordpress website.";"Üzgünüz ama hiçbir kategori Wordpress web sitesinde tespit edilemedi."
"We are sorry but our Wordpress plugin hasn't been detected on your website. Please be sure it is correctly installed and activated.";"Üzgünüz ama bizim Wordpress eklentisi web sitenizde tespit edilmemiştir. Doğru yüklenmiş ve etkinleştirilmiş olduğundan emin olun."
"WordPress URL";"WordPress URL"
"Wordpress";"Wordpress"
"You can mix posts & pages in the queries if needed, however it's not recommended and can lead to random sorting.";"Gerekirse sorgular mesajlar ve sayfaları karıştırabilirsiniz, ancak tavsiye edilmez ve rastgele sıralama yol açabilir."
"You can mix posts & pages in the queries if needed.";"Gerekirse sorgular mesajlar ve sayfaları karıştırabilirsiniz."
